v1,v2,v3,v4,v5,t1,t2,annotation,radiation rate,timestamp
1.86,1.44,1.0,0.76,3.3,32.25,31.5,0,5137,1580981578.4372401
1.9,1.42,1.0,0.76,3.39,32.25,31.5,0,5137,1580981579.07623
1.78,1.34,1.0,0.68,3.39,32.5,31.5,0,5137,1580981579.7151
1.81,1.44,1.0,0.73,3.3,32.5,31.25,0,5137,1580981580.35004
1.9,1.42,1.0,0.76,3.39,32.5,31.25,0,5137,1580981580.98893
1.9,1.32,1.1,0.76,3.3,32.5,31.25,0,5137,1580981581.6279
1.9,1.42,1.12,0.76,3.39,32.5,31.5,0,5137,1580981582.26275
1.9,1.42,1.12,0.76,3.39,32.5,31.25,0,5137,1580981582.9016302
1.88,1.39,1.12,0.68,3.39,32.75,31.5,0,5137,1580981583.54066
1.81,1.32,1.05,0.73,3.34,32.5,31.5,0,5137,1580981584.1754699
1.86,1.44,1.0,0.76,3.3,32.5,31.5,0,5137,1580981584.81444
1.93,1.34,1.05,0.71,3.34,32.5,31.25,0,5137,1580981585.45346
1.88,1.44,1.1,0.73,3.32,32.5,31.5,0,5137,1580981586.09227
1.9,1.42,1.1,0.71,3.37,32.75,31.5,0,5137,1580981586.72717
1.88,1.44,1.1,0.68,3.3,32.5,31.5,0,5137,1580981587.3661199
1.88,1.44,1.1,0.73,3.34,32.5,31.25,0,5137,1580981588.00501
1.9,1.39,1.12,0.78,3.39,32.5,31.25,0,5137,1580981588.63983
1.78,1.39,1.0,0.68,3.37,32.5,31.25,0,5137,1580981589.27885
1.78,1.34,1.12,0.73,3.39,32.5,31.5,0,5137,1580981589.91782
1.78,1.34,1.0,0.76,3.3,32.5,31.25,0,5137,1580981590.5526
1.81,1.42,1.0,0.68,3.37,32.75,31.25,0,5137,1580981591.19155
1.81,1.42,1.03,0.73,3.37,32.5,31.5,0,5137,1580981591.83048
1.88,1.44,1.1,0.73,3.34,32.75,31.5,0,5137,1580981592.4693902
1.88,1.34,1.1,0.68,3.39,32.5,31.25,0,5137,1580981593.1043198
1.78,1.34,1.12,0.73,3.39,32.75,31.5,0,5137,1580981593.74324
1.88,1.29,1.05,0.76,3.39,32.5,31.25,0,5137,1580981594.38223
1.81,1.44,1.03,0.73,3.34,32.75,31.25,0,5137,1580981595.01705
1.9,1.42,1.0,0.73,3.37,32.5,31.5,0,5137,1580981595.6560001
1.88,1.44,1.0,0.73,3.37,32.75,31.5,0,5137,1580981596.29494
1.9,1.42,1.12,0.78,3.39,32.5,31.5,0,5137,1580981596.92979
1.9,1.42,1.0,0.73,3.37,32.5,31.5,0,5137,1580981597.56876
1.88,1.44,1.12,0.68,3.39,32.5,31.5,0,5137,1580981598.20771
1.9,1.44,1.12,0.78,3.39,32.75,31.25,0,5137,1580981598.84656
1.88,1.39,1.0,0.73,3.37,32.5,31.5,0,5137,1580981599.4815302
1.9,1.42,1.03,0.73,3.37,32.5,31.5,0,5137,1580981600.12044
1.78,1.39,1.0,0.73,3.39,32.5,31.5,0,5137,1580981600.75936
1.88,1.34,1.1,0.76,3.34,32.75,31.75,0,5137,1580981601.3942401
1.9,1.44,1.03,0.73,3.37,32.75,31.5,0,5137,1580981602.03317
1.81,1.32,1.0,0.68,3.37,32.75,31.5,0,5137,1580981602.6721401
1.9,1.34,1.1,0.76,3.3,32.75,31.75,0,5137,1580981603.30697
1.78,1.29,1.05,0.76,3.34,32.75,31.25,0,5137,1580981603.9459
1.81,1.32,1.0,0.76,3.3,32.75,31.5,0,5137,1580981604.58483
1.9,1.34,1.1,0.73,3.37,32.75,31.25,0,5137,1580981605.21982
1.78,1.39,1.12,0.73,3.39,32.75,31.5,0,5137,1580981605.85868
1.86,1.32,1.0,0.76,3.3,33.0,31.25,0,5137,1580981606.49766
1.9,1.44,1.12,0.68,3.39,33.0,31.25,0,5137,1580981607.13657
1.9,1.32,1.0,0.76,3.39,33.0,31.25,0,5137,1580981607.77142
1.88,1.34,1.05,0.68,3.39,33.0,31.25,0,5137,1580981608.4103901
1.81,1.32,1.03,0.76,3.3,33.0,31.5,0,5137,1580981609.04933
1.9,1.34,1.0,0.76,3.37,33.0,31.25,0,5137,1580981609.68423
1.78,1.42,0.95,0.78,3.3,33.0,31.5,0,5137,1580981610.32318
1.88,1.34,1.05,0.76,3.37,33.0,31.25,0,5137,1580981610.96208
1.88,1.44,1.05,0.71,3.34,33.25,31.5,0,5137,1580981611.59693
1.9,1.42,1.03,0.73,3.37,33.25,31.25,0,5137,1580981612.23585
1.83,1.34,1.12,0.76,3.39,33.0,31.5,0,5137,1580981612.87477
1.78,1.29,1.0,0.68,3.39,33.0,31.25,0,5137,1580981613.51371
1.88,1.44,1.12,0.68,3.37,33.0,31.5,0,5137,1580981614.14867
1.9,1.34,1.05,0.76,3.3,33.0,31.75,0,5137,1580981614.78755
1.86,1.32,1.0,0.68,3.37,32.75,31.25,0,5137,1580981615.4265
1.83,1.39,1.12,0.73,3.39,32.75,31.75,0,5137,1580981616.06131
1.88,1.39,1.0,0.76,3.34,33.0,31.5,0,5137,1580981616.7002199
1.9,1.39,1.12,0.68,3.39,33.0,31.75,0,5137,1580981617.33923
1.9,1.42,0.95,0.68,3.3,32.75,31.5,0,5137,1580981617.97405
1.9,1.44,1.1,0.73,3.34,32.75,31.5,0,5137,1580981618.61304
1.83,1.44,1.0,0.78,3.3,32.75,31.5,0,5137,1580981619.25195
1.78,1.34,1.0,0.76,3.39,32.75,31.5,0,5137,1580981619.89081
1.88,1.39,1.0,0.68,3.37,32.75,31.75,0,5137,1580981620.52581
1.83,1.42,1.12,0.76,3.39,32.75,31.5,0,5137,1580981621.16469
1.88,1.34,1.0,0.73,3.37,32.75,31.5,0,5137,1580981621.80369
1.86,1.39,1.12,0.71,3.39,32.75,31.5,0,5137,1580981622.43854
1.9,1.39,1.12,0.73,3.39,32.75,31.75,0,5137,1580981623.07741
1.9,1.44,1.03,0.73,3.37,33.0,31.75,0,5137,1580981623.71633
1.78,1.34,1.1,0.68,3.3,33.25,31.75,0,5137,1580981624.35128
1.86,1.32,1.0,0.68,3.37,33.0,32.0,0,5137,1580981624.9901302
1.83,1.42,1.0,0.78,3.39,33.0,32.0,0,5137,1580981625.6291301
1.78,1.29,1.05,0.76,3.34,33.25,32.0,0,5137,1580981626.268
1.81,1.32,1.03,0.76,3.37,33.25,32.0,0,5137,1580981626.90291
1.9,1.39,1.12,0.73,3.39,33.25,32.0,0,5137,1580981627.54198
1.78,1.34,1.12,0.73,3.39,33.25,32.0,0,5137,1580981628.18083
1.88,1.29,1.05,0.76,3.39,33.25,31.75,0,5137,1580981628.81567
1.9,1.39,1.1,0.68,3.37,33.5,32.0,0,5137,1580981629.4546099
1.88,1.34,1.05,0.71,3.34,33.25,31.75,0,5137,1580981630.0936198
1.78,1.34,1.0,0.78,3.39,33.25,31.75,0,5137,1580981630.7283401
1.9,1.39,1.12,0.78,3.39,33.25,32.0,0,5137,1580981631.3673599
1.81,1.42,1.03,0.73,3.37,33.5,31.75,0,5137,1580981632.0063
1.88,1.44,1.1,0.71,3.37,33.5,31.75,0,5137,1580981632.64115
1.9,1.39,1.12,0.81,3.39,33.25,31.75,0,5137,1580981633.28008
1.88,1.44,1.03,0.76,3.37,33.75,31.75,0,5137,1580981633.91902
1.81,1.42,1.12,0.73,3.39,33.5,31.75,0,5137,1580981634.5580099
1.78,1.34,0.95,0.73,3.34,33.5,32.75,0,5137,1580981635.1928802
1.9,1.44,1.03,0.76,3.37,33.5,32.5,0,5137,1580981635.83181
1.78,1.29,1.0,0.73,3.37,33.5,33.25,0,5137,1580981636.47075
1.9,1.42,1.12,0.73,3.39,33.5,32.25,0,5137,1580981637.10558
1.88,1.44,1.05,0.76,3.34,33.5,33.25,0,5137,1580981637.74452
1.88,1.44,1.03,0.76,3.37,33.5,33.25,0,5137,1580981638.38346
1.78,1.29,0.95,0.73,3.39,33.75,33.0,0,5137,1580981639.0183
1.88,1.42,1.05,0.76,3.34,33.75,33.25,0,5137,1580981639.65726
1.88,1.44,1.03,0.73,3.37,33.75,33.0,0,5137,1580981640.29623
1.9,1.39,1.12,0.78,3.39,33.75,33.0,0,5137,1580981640.9351401
1.9,1.44,1.12,0.68,3.39,33.75,33.25,0,5137,1580981641.57006
1.78,1.42,1.1,0.68,3.3,33.75,32.5,0,5137,1580981642.2089999
1.88,1.42,1.0,0.73,3.34,33.75,32.5,0,5137,1580981642.84791
1.9,1.39,1.12,0.81,3.39,34.0,32.5,0,5137,1580981643.48279
1.78,1.29,1.03,0.73,3.37,34.0,32.25,0,5137,1580981644.12166
1.93,1.34,1.03,0.76,3.37,34.0,32.25,0,5137,1580981644.7606199
1.81,1.32,1.03,0.76,3.3,34.0,32.25,0,5137,1580981645.39554
1.78,1.29,1.03,0.73,3.37,33.75,32.25,0,5137,1580981646.03448
1.9,1.44,1.05,0.73,3.34,33.75,32.25,0,5137,1580981646.6733902
1.78,1.34,1.0,0.78,3.3,33.5,32.5,0,5137,1580981647.31234
1.88,1.39,1.12,0.73,3.39,34.0,32.0,0,5137,1580981647.94718
1.9,1.42,1.03,0.76,3.37,33.75,32.5,0,5137,1580981648.58615
1.9,1.42,1.12,0.81,3.39,34.25,33.0,0,5137,1580981649.22508
1.83,1.39,1.0,0.73,3.37,34.0,32.5,0,5137,1580981649.85993
1.9,1.42,1.03,0.73,3.32,34.0,32.5,0,5137,1580981650.49895
1.9,1.39,1.12,0.73,3.39,34.0,32.5,0,5137,1580981651.13784
1.81,1.32,1.03,0.73,3.3,34.0,32.25,0,5137,1580981651.7727
1.9,1.32,1.0,0.78,3.39,34.0,32.75,0,5137,1580981652.41162
1.78,1.42,1.0,0.76,3.39,34.0,32.5,0,5137,1580981653.05058
1.83,1.34,1.0,0.76,3.3,34.0,32.0,0,5137,1580981653.68941
1.78,1.39,1.0,0.76,3.37,34.0,32.75,0,5137,1580981654.32437
1.78,1.34,1.12,0.68,3.39,34.25,32.75,0,5137,1580981654.9633
1.88,1.44,1.05,0.81,3.3,34.25,33.5,0,5137,1580981655.6022198
1.88,1.32,1.1,0.73,3.34,34.25,33.0,0,5137,1580981656.2371302
1.83,1.39,1.12,0.68,3.39,34.25,34.0,0,5137,1580981656.87602
1.9,1.44,1.12,0.76,3.39,34.25,33.75,0,5137,1580981657.51502
1.88,1.29,1.1,0.68,3.39,34.25,33.75,0,5137,1580981658.14987
1.88,1.44,1.1,0.68,3.3,34.25,33.25,0,5137,1580981658.78881
1.9,1.42,1.12,0.73,3.39,34.25,33.25,0,5137,1580981659.42775
1.78,1.37,1.0,0.78,3.3,34.25,33.25,0,5137,1580981660.0625901
1.9,1.42,1.0,0.73,3.37,34.25,33.25,0,5137,1580981660.7014802
1.78,1.34,1.0,0.68,3.39,34.25,33.75,0,5137,1580981661.34051
1.9,1.42,1.12,0.78,3.39,34.5,33.75,0,5137,1580981661.9793599
1.78,1.42,1.03,0.73,3.37,34.75,34.0,0,5137,1580981662.61426
1.9,1.42,1.12,0.81,3.39,34.5,34.0,0,5137,1580981663.2532198
1.9,1.39,1.12,0.81,3.39,34.5,34.0,0,5137,1580981663.89212
1.9,1.34,0.98,0.73,3.32,34.5,34.25,0,5137,1580981664.52702
1.9,1.32,1.03,0.68,3.37,34.5,34.25,0,5137,1580981665.1660001
1.9,1.42,1.12,0.71,3.39,34.5,34.5,0,5137,1580981665.80487
1.88,1.39,1.05,0.73,3.34,34.75,34.5,0,5137,1580981666.43978
1.9,1.42,1.03,0.73,3.37,34.75,34.75,0,5137,1580981667.0787199
1.88,1.39,1.0,0.73,3.3,34.5,34.75,0,5137,1580981667.71764
1.93,1.29,1.03,0.68,3.37,34.5,34.75,0,5137,1580981668.35659
1.9,1.34,1.03,0.73,3.37,35.0,34.75,0,5137,1580981668.99143
1.9,1.39,1.12,0.71,3.39,34.75,34.75,0,5137,1580981669.63039
1.9,1.44,1.12,0.76,3.39,35.0,34.75,0,5137,1580981670.26931
1.78,1.39,1.0,0.73,3.37,34.75,34.75,0,5137,1580981670.90417
1.88,1.44,1.1,0.73,3.37,34.75,34.75,0,5137,1580981671.54311
1.9,1.42,1.12,0.73,3.39,34.75,34.75,0,5137,1580981672.18209
1.88,1.34,1.1,0.71,3.34,34.75,34.75,0,5137,1580981672.8169198
1.78,1.39,1.0,0.76,3.37,34.75,34.75,0,5137,1580981673.45589
1.9,1.44,1.12,0.76,3.39,35.0,34.5,0,5137,1580981674.09486
1.78,1.34,1.12,0.73,3.39,35.25,34.75,0,5137,1580981674.7337
1.88,1.39,1.12,0.73,3.39,34.75,34.5,0,5137,1580981675.3686302
1.78,1.29,1.0,0.78,3.39,35.0,34.75,0,5137,1580981676.00755
1.93,1.32,1.03,0.68,3.37,35.0,34.75,0,5137,1580981676.64649
1.9,1.42,1.03,0.81,3.37,35.25,34.75,0,5137,1580981677.28137
1.9,1.32,1.12,0.68,3.39,35.25,34.75,0,5137,1580981677.92026
1.78,1.39,1.0,0.76,3.39,35.25,34.75,0,5137,1580981678.55926
1.78,1.42,1.1,0.73,3.3,35.5,34.75,0,5137,1580981679.1941
1.78,1.29,1.03,0.71,3.37,35.25,34.75,0,5137,1580981679.83301
1.88,1.29,1.1,0.68,3.39,35.5,34.75,0,5137,1580981680.4720302
1.9,1.42,1.0,0.76,3.39,35.5,34.75,0,5137,1580981681.11091
1.78,1.39,0.95,0.81,3.3,35.25,34.75,0,5137,1580981681.74579
1.9,1.34,1.1,0.68,3.37,35.75,34.75,0,5137,1580981682.38476
1.88,1.32,1.05,0.68,3.34,35.5,34.75,0,5137,1580981683.0236301
1.88,1.44,1.1,0.68,3.37,35.75,34.75,0,5137,1580981683.65855
1.78,1.34,1.0,0.81,3.3,35.75,34.75,0,5137,1580981684.29752
1.88,1.39,1.0,0.73,3.37,35.5,35.0,0,5137,1580981684.93641
1.9,1.32,1.03,0.73,3.37,35.5,34.75,0,5137,1580981685.57128
1.78,1.29,0.98,0.76,3.34,35.5,34.75,0,5137,1580981686.21026
1.78,1.34,1.0,0.76,3.39,35.5,34.75,0,5137,1580981686.84917
1.78,1.29,1.05,0.76,3.34,35.5,34.75,0,5137,1580981687.48399
1.78,1.34,1.0,0.73,3.39,35.5,34.75,0,5137,1580981688.1229699
